ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
300013	YaoGuai	1	0	符咒成灵	[NAME]的原身乃是符咒，在佩戴符咒时，可以额外佩戴一张符咒。	1	-1														10,2												
300014	YaoGuai	1	0	装备成灵	[NAME]的原身乃是装备，在穿着装备时，装备的效果提高一倍。	1	-1															10,2											
300015	YaoGuai	1	0	镇物成灵	[NAME]的原身乃是风水镇物，在受到风水镇物影响时，效果提高一倍。	1	-1																										
300016	YaoGuai	1	0	物材成灵	[NAME]的原身乃是[ITEM]，[NAME]可以通过吞食[ITEM]获得成长。	1	-1													10,2													
300017	YaoGuai	1	0	法宝成灵	[NAME]的原身乃是法宝，[NAME]驾驭法宝时更加得心应手。	1	-1																10,2					Features_JingGuai_3					
300018	YaoGuai	1	0	建筑成灵	[NAME]的原身乃是建筑，[NAME]可通过服用各种建筑材料来重塑躯体。	1	-1											10,2															
300019	YaoGuai	1	0	草木成灵	[NAME]的原身乃是草木，[NAME]每天都在持续而缓慢的成长。	1	-1												10,2														
300020	YaoGuai	1	0	凡物成灵	[NAME]的原身不值一提十分平凡，但尽管如此，他还是获得通灵的机缘，可谓气运通天。	1	-1					4			15,2																		
300022	YaoGuai	2	0	造化塑体	[NAME]的身躯乃是使用造化玉籽施展法力塑体而成，因此[NAME]拥有几乎完美的肉体。这不得不说是旷世的机缘。	1	-1	1	1	1	1	1																					
310001	YaoGuai	1	0	妖族化形	由妖怪化形而成	1	-1																										
310002	YaoGuai2	1	0	夺舍化形	夺舍妖族，然后化形而成	1	-1																										
400000	YGBear	0	0	熊妖化形	[NAME]的原身乃是熊妖化形，其天生懒惰，但四肢发达擅长战斗，强壮的肉体使其不畏严寒和各种五行伤害。	1	0		2	-1			15,2															Bear_Fat	Lazy				
400001	YGRabbit	0	0	兔妖化形	[NAME]的原身乃是兔妖化形，其听觉灵敏，反应极快，思维敏捷。但是天生胆小，不爱社交，心态急躁。	1	0	1							-4				4,2									Rabbit_Fast					
400002	YGChicken	0	0	鸡妖化形	[NAME]的原身乃是鸡妖化形，天生睡眠极少，十分勤奋，修行更快。群居生活使其更擅长社交。	1	0								4,2													Chicken_Sleep	Industrious				
400003	YGWolf	0	0	狼妖化形	[NAME]的原身乃是狼妖化形，其狡诈坚忍，擅长捕猎与战斗。	1	0	1					5,2		15,2													Wolf_Calm					
400004	YGSnake	0	0	蛇妖化形	[NAME]的原身乃是蛇妖化形，其感知灵敏，迅猛如电。同时其听觉很弱，味觉敏锐，非常怕火。远古时期，蛇妖炼体者欲淬炼身体化形为龙，遭到龙族打压，因此几乎灭绝，并没有流传下什么炼体奥义。	1	0	-1			2		0,1															FearFlame	Snake_Progenitor				
400005	YGBoar	0	0	猪妖化形	[NAME]的原身乃是猪妖化形，其身体健壮，食量极大，野蛮狂猛，善于将食物转化为精元。但缺乏灵性，智力较低。	1	0				-1		10,2															Boar					
400006	YGFrog	0	0	蛙妖化形	[NAME]的原身乃是蛙妖化形，适应性极强。其体表天赋分泌的粘液对大部分伤势都很有帮助，并且自身微小的尺度使其更擅长丹器。	1	0	0.5			0.5					20												Frog	Frog_Vision				
400007	YGTurtle	0	0	龟妖化形	[NAME]的原身乃是龟妖化形，其行动缓慢，但是很长寿，心态不错，也极擅自保。	1	0																					Tor_Longevity	Tor_Slow	Tor_Def			
400008	YGCat	0	0	猫妖化形	[NAME]的原身乃是猫妖化形，它不愿意做任何繁重事务，但极具灵性与魅力，善于隐蔽自己的行踪，潜力卓越。	1	0		-1	3					0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2						NoHeavyWork	Cat_Pot				
400009	YGTiger	0	0	虎妖化形	[NAME]的原身乃是虎妖化形，其乃万兽之王，极具攻击性。	1	0		3	-1			20,2															Tiger_Pier					
400010	YGCattle	0	0	牛妖化形	[NAME]的原身乃是牛妖化形，牛勤恳温顺，心性稳重，十分健壮,擅长农事。同时其独特的消化系统，使其对草药之性认知远超他人。	1	0		2		-1								20,2									Industrious	Cow_Farmer	Cow_Big			
400011	YGPanda	0	0	貊妖化形	[NAME]的原身乃是貊妖化形，憨态可掬，又调皮又懒惰。其身体与阴阳同道，对修行有一定帮助。	1	0		1	3	-2		10,2	8,2														Panda1	Panda2				
500001	Human	0	0	Patriarch	Transmigrated as the bastard of a noble family. As a bastard, Noah has never had access to many resources of his family. Instead, he often found himself ostracized and suppressed. He eventually finds a way to escape and reach the Royal Academy where his true potential gets unlocked and his future starts to appear bright.	1	-1		4			-2																					
500002	Human	1	0	Interdimensional travel	After exploring his world to its fullest, Noah decides to travel toward another world through a dimensional passage.	1	-1	3			2		10,2	5,1																			
500003	YGCat	0	0	Alicia's Familiar	Alicia's familiar is a white cat named Snow. When Snow powered up, she can shift into a white tiger.	1	-1	2	-1			1																					
500004	YGCat	1	0	Portal Gate	When Alicia and Regaleon were in the forest doing there usual business they each saw a portal glowing. They thought it was weird but they were curious and so they were sucked in unknowingly and they just realized they were in another world	1	-1	1		2		2	10,2	5,1																			
500005	YGChicken	0	0	Regaleon's Familiar	Regaleon's familiar is a brown falcon named Tempest. When Tempest is powered up, he can shape shift into a red phoenix.	1	-1	2	5		3	1	15,2																				
500006	YGChicken	1	0	Portal Gate	When Alicia and Regaleon were in the forest doing there usual business they each saw a portal glowing. They thought it was weird but they were curious and so they were sucked in unknowingly and they just realized they were in another world	1	-1	2	2	2		5		12,2																			
500007	YGPanda	0	0	Fortune Panda	By being the fortune god's oldest but most forgettable disciple, he had always been able to live a long and slothful life. It was until the Heavenly Emperor who wished to celebrate the new year with something spectacular by asking each and every God to have their oldest disicple perform a trick, or feat to show the emperor.  While eventually the cat discple got chosen to Fortune. It was primarily because the Panda who pushed that responsibility to the fortune cat, due to the fact that he was too lazy to do it in the first place. 	1	-1	-1	4		3	1							12,2														
500008	YGPanda	1	0	Punished Panda	He is the forgotten disciple of the Fortune God and he was sent to the realm as punishment to rebuild his cultivation of fortune after he had done a great disservice to the the Fortune God\nBeing kicked out of the heavenly realm by his master to recultivate the cultivation of heavenly fortune and earn ten million dollars before able to return to the heavenly realm.	1	-1				1	3		15,2																			
500009	Human	0	0	Machine Goddess	She was captured as a child and experimented on with a new prototype known as nanobots. After countless experiments, she was the first to survive and became the stronger nanomancer, a mage who uses nanobots as a weapon. However, the scientists kept her chained up using machines against her. However, she was soon saved by a hero and she decided to join his party. Unfortunately, the hero betrayed her over his jealously of her power and she was slain. Reincarnating into a different world, she was now a monster known as a snow girl who can use the power of ice. With ice, she supports her nanobots in combat by freezing her enemies then shattering them with swords and guns made from her nanobots.	1	-1	4	2				15,2																				
500010	Human	1	0	Nanomancer	Chaos gave Shiro her favour and allowed her to retain her memories and powers in her next reincarnation.\nShe wakes up alone in the wilderness and is almost eaten by wolves, but her instincts, skills and powers kick in. So she is able to defeat and eat the wolves' mana!	1	-1			1	1	3					15,2																
500011	Human	0	0	The Tantrum Prince	Kresnik is the Prince of Ritz, bethrothed to Princess ALINEA. When she dies and incarnates into Ara, a young woman in modern day Japan, Kres is also reincarnated into Ara's fiance, Homura Ryuu, heir to the most influential family in Japan.	1	-1	1		4	1				15,2																		
500012	Human	1	0	Fate Arrangement	Reincarnated due to his fate being tied with Alinea's\nKresnik is reborn as Homura Ryuu under a normal reincarnation (it is Alinea who dies and transmigrates)	1	-1					3		12,2																			
